,towns
150,"Lawrence (University of Kansas, Haskell Indian Nations University)[15]"
151,"Manhattan (Kansas State University, Manhattan Christian College)[15]"
152,Pittsburg (Pittsburg State University)[2]
153,Kentucky[edit]
154,Bowling Green (Western Kentucky University)[2]
155,Columbia (Lindsey Wilson College)[2]
156,Georgetown (Georgetown College)
157,Highland Heights (Northern Kentucky University)
158,"Lexington (University of Kentucky, Transylvania University[5]"
159,Louisville (University of Louisville)
160,Morehead (Morehead State University)[2]
161,Murray (Murray State University)[5]
162,Richmond (Eastern Kentucky University)[2]
163,Williamsburg (University of the Cumberlands)[2]
164,"Wilmore (Asbury University, Asbury Theological Seminary)[2]"
165,Louisiana[edit]
166,"Baton Rouge (Louisiana State University, Southern University)"
167,Grambling (Grambling State University)[5]
168,Hammond (Southeastern Louisiana University)[2]
169,Lafayette (University of Louisiana at Lafayette)
170,Monroe (University of Louisiana at Monroe)[2]
171,Natchitoches (Northwestern State University)[2]
172,Ruston (Louisiana Tech University)[2]
173,Thibodaux (Nicholls State University)[2]
174,Maine[edit]
175,Augusta (University of Maine at Augusta)[2]
176,Bar Harbor (College of the Atlantic)
177,Brunswick (Bowdoin College)
178,Farmington (University of Maine at Farmington)[2]
179,Fort Kent (University of Maine at Fort Kent)
180,Gorham (University of Southern Maine)[2]
181,"Lewiston, Maine (Bates College)"
182,Orono (University of Maine)[2]
183,"Waterville (Thomas College, Colby College)"
184,Maryland[edit]
185,"Annapolis (United States Naval Academy, St. John's College)"
186,Chestertown (Washington College)[2]
187,"College Park (University of Maryland, College Park)[16]"
188,Cumberland (Allegany College of Maryland)
189,Emmitsburg (Mount St. Mary's University)[2]
190,Frostburg (Frostburg State University)[5]
191,Princess Anne (University of Maryland Eastern Shore)[5]
192,"Towson (Towson University, Goucher College)[2]"
193,Salisbury (Salisbury University)[2]
194,Westminster (McDaniel College)
195,Massachusetts[edit]
196,"Boston (Boston University, Boston College, Boston Conservatory, New England Conservatory, Brandeis University, Northeastern University, UMass Boston, Emmanuel College, Bunker Hill Community College, Roxbury Community College, Suffolk University, Simmons College, among many others)"
197,Bridgewater (Bridgewater State College)[2]
198,"Cambridge (Harvard University, Massachusetts Institute of Technology)(Lesley University, Cambridge College, Longy School of Music)[15]"
199,Chestnut Hill (Boston College)
200,The Colleges of Worcester Consortium:
201,Dudley (Nichols College)
202,North Grafton (Cummings School of Veterinary Medicine at Tufts University)
203,Paxton (Anna Maria College)
204,"Worcester (Assumption, Becker, Clark University, Holy Cross, Mass. College of Pharmacy & Health Sciences, Quinsigamond Community College, UMass Medical School, Worcester State University, Worcester Polytechnic Institute)"
205,The Five College Region of Western Massachusetts:
206,"Amherst (Amherst College, Hampshire College, University of Massachusetts Amherst)[15]"
207,Northampton (Smith College)
208,South Hadley (Mount Holyoke College)
209,Fitchburg (Fitchburg State College)
210,North Adams (Massachusetts College of Liberal Arts)
211,"Springfield (American International College), (Springfield College), and (Western New England College)"
212,"Waltham (Bentley University), (Brandeis University)"
213,Williamstown (Williams College)
214,Framingham (Framingham State University)
215,Michigan[edit]
216,"Adrian (Adrian College, Siena Heights University)"
217,Albion (Albion College)[17]
218,Allendale (Grand Valley State University)
219,Alma (Alma College)
220,Ann Arbor (University of Michigan)[1]
221,Berrien Springs (Andrews University)[2]
222,Big Rapids (Ferris State University)[2]
223,East Lansing (Michigan State University)[2]
224,"Flint (Kettering University, University of Michigan-Flint)"
225,Hillsdale (Hillsdale College)
226,Houghton (Michigan Technological University)[5]
227,"Kalamazoo (Western Michigan University, Kalamazoo College)[2]"
228,Marquette (Northern Michigan University)[2]
229,Midland (Northwood University)
230,Mount Pleasant (Central Michigan University)[2]
231,Olivet (Olivet College)[2]
232,Saginaw (Saginaw Valley State University)
233,Sault Ste. Marie (Lake Superior State University)
234,Spring Arbor (Spring Arbor University)[2]
235,Ypsilanti (Eastern Michigan University)[2]
236,Minnesota[edit]
237,Bemidji (Bemidji State University)[2]
238,Crookston (University of Minnesota Crookston)[2]
239,"Duluth (University of Minnesota Duluth, Lake Superior College, The College of St. Scholastica, University of Wisconsin–Superior, Duluth Business University"
240,"Faribault, South Central College"
241,"Mankato (Minnesota State University, Mankato),[2] Bethany Lutheran College"
242,Marshall (Southwest Minnesota State University)[2]
243,"Moorhead (Minnesota State University, Moorhead, Concordia College)[18]"
244,Morris (University of Minnesota Morris)[2]
245,"Northfield (Carleton College, St. Olaf College)[5]"
246,"North Mankato, South Central College"
247,"St. Cloud (St. Cloud State University, The College of St. Scholastica)[2]"
248,St. Joseph (College of Saint Benedict)[2]
249,St. Peter (Gustavus Adolphus College)[2]
250,"Winona (Winona State University, St. Mary's University of Minnesota)[19]"
251,Mississippi[edit]
252,Cleveland (Delta State University)[2]
253,Hattiesburg (University of Southern Mississippi)[20]
254,Itta Bena (Mississippi Valley State University)[2]
255,Oxford (University of Mississippi)[2]
256,Starkville (Mississippi State University)[2]
257,Missouri[edit]
258,Bolivar (Southwest Baptist University)[2]
259,Cape Girardeau (Southeast Missouri State University)[2]
260,"Columbia (University of Missouri, Stephens College, Columbia College)[20]"
261,Fayette (Central Methodist University)[2]
262,Fulton (Westminster College and William Woods University).
263,"Kirksville (Truman State University, A. T. Still University)[2]"
264,Maryville (Northwest Missouri State University)[2]
265,Rolla (Missouri University of Science and Technology)[2]
266,Warrensburg (University of Central Missouri)[5]
267,Montana[edit]
268,Bozeman (Montana State University)[2]
269,Dillon (University of Montana Western)[2]
270,Missoula (University of Montana)[5]
271,Nebraska[edit]
272,Chadron (Chadron State College)[5]
273,Crete (Doane College)[2]
274,Kearney (University of Nebraska at Kearney)[2]
275,Lincoln (University of Nebraska at Lincoln)[5]
276,Peru (Peru State College)[2]
277,Seward (Concordia University)[2]
278,Wayne (Wayne State College)[2]
279,Nevada[edit]
280,"Las Vegas (University of Nevada, Las Vegas)"
281,"Reno (University of Nevada, Reno)"
282,New Hampshire[edit]
283,"New London, New Hampshire (Colby-Sawyer College)"
284,Durham (University of New Hampshire)[2]
285,Hanover (Dartmouth College)[5]
286,Henniker (New England College)
287,Keene (Keene State College)[2]
288,Plymouth (Plymouth State University)[2]
289,Rindge (Franklin Pierce University)
290,New Jersey[edit]
291,"Ewing (The College of New Jersey), (Rider University)"
292,"Jersey City (New Jersey City University), (Saint Peter's University)"
293,Glassboro (Rowan University)[2]
294,Hoboken (Stevens Institute of Technology)
295,"Madison (Drew University), (Fairleigh Dickinson University), (College of Saint Elizabeth)"
296,"Newark (Rutgers University), (New Jersey Institute of Technology), (UMDNJ)"
297,New Brunswick (Rutgers University)[5]
298,Princeton (Princeton University)[5]
299,Union (Kean University)
300,West Long Branch (Monmouth University)
301,New Mexico[edit]
302,Hobbs (University of the Southwest)[2]
303,Las Cruces (New Mexico State University)[2]
304,Las Vegas (New Mexico Highlands University)[2]
305,Portales (Eastern New Mexico University)[2]
306,Silver City (Western New Mexico University)[2]
307,New York[edit]
308,"Alfred (Alfred University, Alfred State College)[2]"
309,"Albany (SUNY Albany, Siena College, Albany College of Pharmacy, Albany Law School, Albany Medical College, College of Saint Rose, Excelsior College, Maria College of Albany, Mildred Elley, Sage College of Albany)"
310,Aurora (Wells College)[21]
311,Binghamton (Binghamton University)[2]
312,Brockport (SUNY Brockport)[5]
313,Buffalo (University at Buffalo)
314,"Canton (St. Lawrence University, SUNY Canton)[2]"
315,Clinton (Hamilton College)[2]
316,Cobleskill (SUNY Cobleskill)[2]
317,Delhi (SUNY Delhi)[2]
318,Fredonia (SUNY Fredonia)[2]
319,Geneseo (SUNY Geneseo)[2]
320,Geneva (Hobart and William Smith Colleges)
321,Hamilton (Colgate University)[2]
322,"Ithaca (Cornell University, Ithaca College)[1]"
323,"Morningside Heights, Manhattan (Columbia University, Barnard College, Teachers College, Manhattan School of Music, Jewish Theological Seminary, Union Theological Seminary, Bank Street College of Education)"
324,New Paltz (SUNY New Paltz)[2]
325,"Oneonta (SUNY Oneonta, Hartwick College)[2]"
326,Oswego (SUNY Oswego)[2]
327,Plattsburgh (SUNY Plattsburgh)[2]
328,"Potsdam (SUNY Potsdam, Clarkson University)[2]"
329,"Poughkeepsie (Vassar College, Marist College)[2]"
330,"Purchase (Purchase College, Manhattanville College)[2]"
331,"Rochester (University of Rochester, Rochester Institute of Technology, Nazareth College, St. John Fisher College, Monroe Community College, Roberts Wesleyan College, SUNY Brockport, SUNY Empire State College)[2]"
332,Saratoga Springs (Skidmore College)[2]
333,Seneca Falls (New York Chiropractic College)
334,Stony Brook (Stony Brook University)
335,"Syracuse (Syracuse University, SUNY ESF, Upstate Medical University)"
336,Tivoli (Bard College)
337,"Troy (Rensselaer Polytechnic Institute, Russell Sage College, Hudson Valley Community College)"
338,West Point (United States Military Academy)
339,North Carolina[edit]
340,Banner Elk (Lees-McRae College)
341,Boiling Springs (Gardner-Webb University)[2]
342,Boone (Appalachian State University)[2]
343,Buies Creek (Campbell University)[2]
